LiuBaiCheng,刘柏城
they,他们
hello,你好
goodbye,n.再见
yes,adv.是的
no,adv.不
maybe,adv.或许
always,adv.总是
never,adv.决不
sometimes,adv.有时候
often,adv.经常
rarely,adv.很少
usually,adv.通常
tomorrow,n.明天
today,n.今天
yesterday,n.昨天
time,n.时间
year,n.年
month,n.月
week,n.周
day,n.天
hour,n.小时
minute,n.分钟
second,n.秒
morning,n.早晨
afternoon,n.下午
evening,n.晚上
night,n.夜晚
breakfast,n.早餐
lunch,n.午餐
dinner,n.晚餐
food,n.食物
water,n.水
coffee,n.咖啡
tea,n.茶
beer,n.啤酒
wine,n.酒
book,n.书
newspaper,n.报纸
magazine,n.杂志
phone,n.电话
computer,n.计算机
internet,n.互联网
music,n.音乐
movie,n.电影
video,n.视频
game,n.游戏
football,n.足球
basketball,n.篮球
baseball,n.棒球
tennis,n.网球
swimming,v.游泳
running,v.跑步
walking,v.步行
driving,v.驾驶
flying,v.飞行
train,n.火车
bus,n.公交车
car,n.汽车
bicycle,n.自行车
motorcycle,n.摩托车
airplane,n.飞机
boat,n.船
good,adj.好的
bad,adj.坏的
happy,adj.开心的
sad,adj.难过的
angry,adj.生气的
tired,adj.疲劳的
busy,adj.忙碌的
lazy,adj.懒惰的
smart,adj.聪明的
stupid,adj.愚蠢的
beautiful,adj.美丽的
ugly,adj.丑陋的
big,adj.大的
small,adj.小的
heavy,adj.重的
light,adj.轻的
hot,adj.热的
cold,adj.冷的
fast,adj.快的
slow,adj.慢的
old,adj.旧的
new,adj.新的
rich,adj.富有的
poor,adj.贫穷的
hi,你好呀
word,单
